Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"What is my relationship with spiritual competition?","Competition","competition, collaboration, scarcity","Competitive mindset","Scaling","Relationship Prompt","15 min","Advanced","Competition awareness","Collaborative mindset","competition collaboration scarcity","Healing competitive patterns"
"How do I navigate being spiritual in a material world?","Integration","integration, material, spiritual","World integration challenges","All stages","Integration Prompt","20 min","Advanced","Integration work","Comfortable world navigation","integration material spiritual","Navigating spiritual-material world balance"
"What does my soul want me to know about pricing?","Pricing Wisdom","pricing, soul wisdom, value","Pricing confusion","Starting out","Wisdom Prompt","15 min","Intermediate","Pricing awareness","Soul-aligned pricing","pricing soul wisdom value","Receiving inner guidance on pricing"
"How can I transform my business stress into spiritual growth?","Stress Transformation","stress, transformation, growth","Business stress","All stages","Transformation Prompt","20 min","Advanced","Stress awareness","Stress as growth catalyst","stress transformation growth","Using business stress for spiritual development"
"What parts of me resist receiving abundance?","Abundance Blocks","abundance, resistance, receiving","Abundance blocks","All stages","Block Prompt","25 min","Advanced","Abundance work","Released abundance blocks","abundance resistance receiving","Identifying abundance resistance patterns"
"How do I want to show up as a spiritual leader?","Leadership","leadership, authenticity, service","Leadership uncertainty","Established","Leadership Prompt","20 min","Advanced","Leadership awareness","Clear leadership vision","leadership authenticity service","Defining authentic spiritual leadership"
"What would it look like to run my business from pure love?","Love-Based Business","love, business, heart-centered","Fear-based business decisions","All stages","Vision Prompt","15 min","Intermediate","Love awareness","Love-centered business","love business heart-centered","Visioning love-based business operations"
"How does my spiritual practice support my business growth?","Practice Integration","practice, business, support","Spiritual practice separation","All stages","Integration Prompt","15 min","Intermediate","Spiritual practice","Supported business growth","practice business support","Integrating spiritual practice with business"
"What does my intuition say about my business direction?","Intuitive Guidance","intuition, direction, guidance","Business direction confusion","All stages","Guidance Prompt","15 min","Advanced","Intuitive connection","Clear business direction","intuition direction guidance","Accessing intuitive business guidance"
"How do I heal my relationship with being 'too much'?","Authenticity","authenticity, too much, expression","Fear of being too much","All stages","Healing Prompt","25 min","Advanced","Authenticity work","Comfortable authentic expression","authenticity too much expression","Healing fear of authentic expression"
"What is my deeper why beyond making money?","Purpose Beyond Money","purpose, money, meaning","Money-focused motivation","All stages","Purpose Prompt","20 min","Intermediate","Purpose work","Clear deeper purpose","purpose money meaning","Finding purpose beyond financial gain"
"How can I create more sacred moments in my workday?","Sacred Work","sacred moments, work, ritual","Mundane work experience","All stages","Ritual Prompt","10 min","Beginner","None","Sacredness in daily work","sacred moments work ritual","Bringing sacredness to daily business"
"What does my heart most want to express through my work?","Heart Expression","heart, expression, authenticity","Unexpressed heart desires","All stages","Expression Prompt","15 min","Intermediate","Heart connection","Clear heart expression","heart expression authenticity","Connecting with heart's deepest expression"
"How do I navigate spiritual business without losing my soul?","Soul Preservation","soul, preservation, integrity","Soul loss in business","All stages","Integrity Prompt","25 min","Advanced","Soul awareness","Preserved spiritual integrity","soul preservation integrity","Maintaining soul integrity in business"
"What gifts am I hiding that the world needs to see?","Hidden Gifts","gifts, hiding, visibility","Hidden spiritual gifts","Starting out","Gift Prompt","20 min","Intermediate","Gift awareness","Expressed spiritual gifts","gifts hiding visibility","Uncovering and sharing hidden gifts"
"How can I trust the process when I can't see the outcome?","Trust Process","trust, process, surrender","Need for control","All stages","Trust Prompt","15 min","Advanced","Surrender practice","Trust in divine process","trust process surrender","Developing trust in unseen outcomes"
"What would it feel like to be completely supported in my business?","Support Visualization","support, visualization, receiving","Lack of support feeling","All stages","Visualization Prompt","15 min","Intermediate","Visualization skills","Feeling of complete support","support visualization receiving","Visualizing complete business support"
"How does my business serve my own healing journey?","Self-Healing","self-healing, business, growth","Business as personal development","All stages","Healing Prompt","20 min","Advanced","Self-healing awareness","Business as healing vehicle","self-healing business growth","Using business for personal healing"
"What does success look like when aligned with my soul?","Soul Success","success, soul, alignment","Misaligned success definitions","All stages","Success Prompt","20 min","Advanced","Soul connection","Soul-aligned success vision","success soul alignment","Defining soul-aligned success"
"How can I honor my seasons of rest and activity?","Natural Rhythms","rhythms, rest, activity","Constant productivity pressure","All stages","Rhythm Prompt","15 min","Intermediate","Natural rhythm awareness","Honored natural business rhythms","rhythms rest activity","Honoring natural productivity cycles"
"What messages did I receive about money and spirituality growing up?","Money Programming","money, spirituality, childhood","Inherited money beliefs","All stages","Programming Prompt","25 min","Advanced","Childhood awareness","Healed money-spirituality relationship","money spirituality childhood","Healing inherited money-spirituality beliefs"
"How can I create more joy and playfulness in my business?","Joy Integration","joy, playfulness, business","Serious business approach","All stages","Joy Prompt","15 min","Beginner","None","Joyful business experience","joy playfulness business","Bringing joy into spiritual business"
"What is my relationship with spiritual and material success?","Success Integration","success, spiritual, material","Success integration challenges","All stages","Integration Prompt","20 min","Advanced","Success awareness","Integrated success approach","success spiritual material","Integrating spiritual and material success"
