Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"Sacred Leadership Emergence Path","Leadership Journeys","leadership, sacred, emergence","Leadership development","Established","Map","3 hours","Advanced","Leadership potential","Empowered spiritual leader","sacred leadership emergence","Journey to spiritual leadership"
"Spiritual Creativity Activation","Creativity Journeys","creativity, activation, expression","Creative expression path","All stages","Map","90 min","Intermediate","Creative awareness","Activated spiritual creativity","spiritual creativity activation","Journey to expressing spiritual creativity"
"Energy Protection Mastery Journey","Protection Journeys","protection, energy, mastery","Energy protection skills","All stages","Map","90 min","Advanced","Energy work","Master energy protection","energy protection mastery","Journey to energy protection mastery"
"Spiritual Communication Breakthrough","Communication Journeys","communication, breakthrough, authentic","Authentic expression","All stages","Map","2 hours","Intermediate","Communication awareness","Clear spiritual communication","spiritual communication breakthrough","Journey to authentic spiritual expression"
"Sacred Abundance Activation Path","Abundance Journeys","abundance, activation, prosperity","Abundance mindset development","All stages","Map","2 hours","Advanced","Abundance work","Activated abundance consciousness","sacred abundance activation","Journey to abundance consciousness"
"Spiritual Confidence Building Journey","Confidence Journeys","confidence, spiritual, empowerment","Self-confidence in spiritual gifts","Starting out","Map","2 hours","Intermediate","Self-awareness","Confident spiritual expression","spiritual confidence building","Journey to spiritual self-confidence"
"Divine Masculine Integration Path","Masculine Journeys","divine masculine, integration, balance","Masculine spiritual development","All stages","Map","2 hours","Advanced","Masculine work","Integrated divine masculine","divine masculine integration","Journey to healthy divine masculine"
"Spiritual Intuition Development","Intuition Journeys","intuition, development, psychic","Intuitive ability enhancement","All stages","Map","2 hours","Intermediate","Intuitive awareness","Strong spiritual intuition","spiritual intuition development","Journey to developed spiritual intuition"
"Sacred Service Discovery Journey","Service Journeys","service, discovery, calling","Finding spiritual calling","Starting out","Map","2 hours","Intermediate","Service awareness","Clear spiritual service path","sacred service discovery","Journey to discovering your spiritual service"
"Spiritual Anxiety Healing Path","Anxiety Journeys","anxiety, healing, peace","Spiritual approach to anxiety","All stages","Map","2 hours","Advanced","Mental health awareness","Reduced spiritual anxiety","spiritual anxiety healing","Journey through spiritual anxiety healing"
"Conscious Boundary Mastery Journey","Boundary Journeys","boundaries, mastery, protection","Healthy boundary development","All stages","Map","2 hours","Advanced","Boundary work","Master spiritual boundaries","boundary mastery conscious","Journey to healthy spiritual boundaries"
"Spiritual Depression Recovery Path","Depression Journeys","depression, recovery, spiritual","Spiritual depression support","Advanced","Map","3 hours","Advanced","Mental health training","Spiritual depression recovery","spiritual depression recovery","Journey through spiritual depression"
"Sacred Grief Integration Journey","Grief Journeys","grief, integration, healing","Spiritual grief support","All stages","Map","2 hours","Advanced","Grief work","Integrated grief healing","sacred grief integration","Journey through spiritual grief healing"
"Spiritual Addiction Recovery Path","Recovery Journeys","addiction, recovery, spiritual","Spiritual addiction support","Advanced","Map","3 hours","Advanced","Addiction knowledge","Spiritual addiction recovery","spiritual addiction recovery","Journey through spiritual addiction healing"
"Divine Will Alignment Journey","Alignment Journeys","divine will, alignment, surrender","Surrendering to divine will","Advanced","Map","2 hours","Advanced","Surrender work","Aligned with divine will","divine will alignment","Journey to divine will alignment"
"Spiritual Perfectionism Healing","Perfectionism Journeys","perfectionism, healing, acceptance","Perfectionism release","All stages","Map","2 hours","Advanced","Perfectionism awareness","Released perfectionism","spiritual perfectionism healing","Journey to releasing spiritual perfectionism"
"Sacred Sexuality Healing Path","Sexuality Journeys","sexuality, healing, sacred","Sexual healing journey","Advanced","Map","3 hours","Advanced","Sexuality work","Healed sacred sexuality","sacred sexuality healing","Journey to healthy sacred sexuality"
"Spiritual Codependency Recovery","Codependency Journeys","codependency, recovery, independence","Healthy spiritual independence","All stages","Map","2 hours","Advanced","Codependency awareness","Healthy spiritual independence","spiritual codependency recovery","Journey to spiritual independence"
"Divine Timing Acceptance Journey","Timing Journeys","divine timing, acceptance, patience","Patience with divine timing","All stages","Map","90 min","Advanced","Surrender work","Peace with divine timing","divine timing acceptance","Journey to accepting divine timing"
"Spiritual Worthiness Activation","Worthiness Journeys","worthiness, activation, self-love","Self-worth development","All stages","Map","2 hours","Advanced","Self-worth work","Strong spiritual self-worth","spiritual worthiness activation","Journey to spiritual self-worth"
"Sacred Shadow Integration Path","Shadow Journeys","shadow work, integration, wholeness","Shadow work progression","Advanced","Map","3 hours","Advanced","Shadow work training","Integrated shadow aspects","shadow integration sacred","Journey through shadow work integration"
"Spiritual Overwhelm Recovery Journey","Overwhelm Journeys","overwhelm, recovery, balance","Spiritual overwhelm support","All stages","Map","90 min","Advanced","Overwhelm awareness","Balanced spiritual life","spiritual overwhelm recovery","Journey through spiritual overwhelm"
"Divine Connection Deepening Path","Connection Journeys","divine connection, deepening, relationship","Stronger spiritual connection","All stages","Map","2 hours","Intermediate","Spiritual practice","Deep divine connection","divine connection deepening","Journey to deeper spiritual connection"
"Spiritual Isolation Healing Journey","Isolation Journeys","isolation, healing, community","Overcoming spiritual loneliness","All stages","Map","2 hours","Advanced","Isolation awareness","Connected spiritual community","spiritual isolation healing","Journey from isolation to community"
"Sacred Power Reclamation Path","Power Journeys","power, reclamation, empowerment","Spiritual empowerment","All stages","Map","2 hours","Advanced","Power work","Reclaimed spiritual power","sacred power reclamation","Journey to reclaiming spiritual power"
"Spiritual Family Healing Journey","Family Journeys","family, healing, relationships","Family relationship healing","All stages","Map","3 hours","Advanced","Family dynamics","Healed family relationships","spiritual family healing","Journey to healing family dynamics"
"Divine Feminine Leadership Path","Leadership Journeys","leadership, feminine, divine","Feminine leadership development","Established","Map","3 hours","Advanced","Leadership development","Empowered feminine leader","divine feminine leadership","Journey to feminine spiritual leadership"
"Spiritual Career Transition Journey","Career Journeys","career, transition, spiritual","Career alignment support","All stages","Map","3 hours","Advanced","Career transition","Aligned spiritual career","spiritual career transition","Journey to soul-aligned career"
"Sacred Forgiveness Mastery Path","Forgiveness Journeys","forgiveness, mastery, healing","Forgiveness skill development","All stages","Map","2 hours","Advanced","Forgiveness work","Master forgiveness practice","forgiveness mastery sacred","Journey to forgiveness mastery"
"Spiritual Health Integration Journey","Health Journeys","health, integration, holistic","Holistic health approach","All stages","Map","2 hours","Advanced","Holistic health","Integrated spiritual health","spiritual health integration","Journey to holistic spiritual health"
"Divine Masculine Healing Path","Masculine Journeys","masculine, healing, integration","Masculine healing journey","All stages","Map","3 hours","Advanced","Masculine work","Healed divine masculine","divine masculine healing","Journey to healing divine masculine"
"Spiritual Sovereignty Declaration","Sovereignty Journeys","sovereignty, declaration, independence","Spiritual independence","Advanced","Map","2 hours","Advanced","Sovereignty work","Sovereign spiritual being","spiritual sovereignty declaration","Journey to spiritual sovereignty"
"Sacred Earth Connection Journey","Earth Journeys","earth connection, nature, grounding","Nature connection development","All stages","Map","90 min","Intermediate","Nature awareness","Deep earth connection","sacred earth connection","Journey to deeper earth connection"
"Spiritual Technology Integration","Technology Journeys","technology, integration, balance","Healthy tech-spirituality balance","All stages","Map","90 min","Advanced","Technology awareness","Balanced spiritual-tech life","spiritual technology integration","Journey to healthy spiritual technology use"
"Divine Service Activation Path","Service Journeys","service, activation, calling","Service calling development","All stages","Map","2 hours","Advanced","Service awareness","Clear spiritual service","divine service activation","Journey to activated spiritual service"
"Spiritual Community Building Journey","Community Journeys","community, building, connection","Community creation path","Scaling","Map","3 hours","Advanced","Community building","Thriving spiritual community","spiritual community building","Journey to building spiritual community"
"Sacred Wisdom Integration Path","Wisdom Journeys","wisdom, integration, knowledge","Wisdom integration process","Advanced","Map","2 hours","Advanced","Wisdom work","Integrated spiritual wisdom","wisdom integration sacred","Journey to integrating spiritual wisdom"
"Spiritual Business Scaling Journey","Scaling Journeys","scaling, business, growth","Business growth path","Scaling","Map","3 hours","Advanced","Business scaling","Successfully scaled spiritual business","spiritual business scaling","Journey to scaling a spiritual business"
"Divine Love Embodiment Path","Love Journeys","divine love, embodiment, heart","Love embodiment development","Advanced","Map","2 hours","Advanced","Love work","Embodied divine love","divine love embodiment","Journey to embodying divine love"
