Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"Sacred Storytelling Circle Format","Storytelling Scripts","storytelling, circle, sacred","Deep sharing","All stages","Format","45 min","Intermediate","Circle facilitation","Meaningful connection","storytelling circle sacred","Structured story sharing format"
"Spiritual Business Mastermind Script","Mastermind Scripts","mastermind, business, spiritual","Peer learning","Established","Script","2 hours","Advanced","Business experience","Mutual growth","spiritual business mastermind","Professional mastermind meeting structure"
"Community Healing Circle Protocol","Healing Scripts","healing, circle, protocol","Group healing facilitation","Advanced","Protocol","1 hour","Advanced","Healing training","Community healing","healing circle protocol community","Safe group healing space guidelines"
"Spiritual Goal Setting Workshop","Workshop Scripts","goal setting, spiritual, workshop","Aligned goal creation","All stages","Workshop","3 hours","Intermediate","Workshop facilitation","Clear spiritual goals","spiritual goal setting workshop","Workshop for soul-aligned goal setting"
"Energy Boundary Setting Script","Boundary Scripts","boundaries, energy, protection","Healthy boundaries","All stages","Script","20 min","Intermediate","Energy awareness","Protected energy","energy boundary setting script","Teaching energy boundaries in community"
"Sacred Business Partnership Agreement","Partnership Scripts","partnership, business, sacred","Spiritual business partnerships","Established","Agreement","1 hour","Advanced","Legal awareness","Clear partnerships","sacred business partnership","Partnership agreement template"
"Community Crisis Support Protocol","Crisis Scripts","crisis, support, community","Mental health support","All stages","Protocol","45 min","Advanced","Crisis training","Safe crisis response","crisis support protocol community","Community mental health crisis response"
"Spiritual Abundance Circle Script","Abundance Scripts","abundance, circle, prosperity","Money mindset healing","All stages","Script","1 hour","Intermediate","Money mindset work","Healthy money relationship","abundance circle spiritual","Group money mindset healing"
"Digital Detox Community Challenge","Challenge Scripts","digital detox, community, wellness","Tech-life balance","All stages","Challenge","1 week","Beginner","None","Healthier tech relationship","digital detox community challenge","Community digital wellness challenge"
"Spiritual Business Ethics Discussion","Discussion Scripts","ethics, business, spiritual","Ethical business practices","Established","Discussion","1 hour","Advanced","Business ethics knowledge","Clear ethical guidelines","spiritual business ethics","Group discussion on spiritual business ethics"
"Community Visioning Session Script","Visioning Scripts","visioning, community, future","Collective direction","All stages","Script","2 hours","Advanced","Visioning experience","Aligned community direction","community visioning session","Group visioning for community direction"
"Sacred Space Creation Ritual","Space Scripts","sacred space, creation, ritual","Energetic space clearing","All stages","Ritual","30 min","Intermediate","Space clearing knowledge","Sanctified meeting space","sacred space creation ritual","Creating sacred space for community"
"Spiritual Business Peer Review","Peer Review Scripts","peer review, business, feedback","Constructive feedback","Scaling","Process","45 min","Advanced","Business knowledge","Improved business strategies","spiritual business peer review","Structured business feedback process"
"Community Celebration Ritual Script","Celebration Scripts","celebration, ritual, community","Acknowledging achievements","All stages","Ritual","30 min","Beginner","None","Joyful community energy","celebration ritual community","Group celebration ceremony"
"Spiritual Mentorship Matching Process","Mentorship Scripts","mentorship, matching, spiritual","Mentor-mentee connections","All stages","Process","30 min","Intermediate","Mentorship experience","Meaningful mentorship pairs","spiritual mentorship matching","Connecting mentors with mentees"
"Energy Clearing Group Protocol","Group Protocols","energy clearing, group, healing","Group energy management","All stages","Protocol","45 min","Advanced","Energy work training","Clear group energy","energy clearing group protocol","Group energy clearing procedures"
"Sacred Business Brainstorming Session","Brainstorming Scripts","brainstorming, business, sacred","Creative business solutions","All stages","Session","1 hour","Intermediate","Facilitation skills","Innovative solutions","sacred business brainstorming","Spiritual business idea generation"
"Community Accountability Partner Script","Accountability Scripts","accountability, partner, community","Goal achievement support","All stages","Script","20 min","Beginner","None","Better goal completion","accountability partner community","Spiritual accountability partnership"
"Spiritual Business Book Club Format","Book Club Scripts","book club, business, spiritual","Continuous learning","All stages","Format","2 hours","Beginner","Reading commitment","Shared learning","spiritual business book club","Monthly spiritual business book discussions"
"Sacred Leadership Circle Script","Leadership Scripts","leadership, circle, development","Leadership development","Established","Script","2 hours","Advanced","Leadership experience","Stronger spiritual leaders","sacred leadership circle","Spiritual leadership development group"
"Community Grief Support Protocol","Support Scripts","grief, support, healing","Loss support","All stages","Protocol","1 hour","Advanced","Grief counseling training","Healing support","grief support protocol community","Community support for loss and grief"
"Spiritual Business Innovation Lab","Innovation Scripts","innovation, lab, business","Creative solutions","Advanced","Lab","3 hours","Advanced","Innovation facilitation","Breakthrough ideas","spiritual business innovation lab","Innovation workshop for spiritual businesses"
"Energy Alignment Check-In Script","Check-In Scripts","energy, alignment, wellness","Regular alignment","All stages","Script","15 min","Beginner","Energy awareness","Consistent alignment","energy alignment checkin","Regular group energy alignment"
"Sacred Business Retreat Planning","Retreat Scripts","retreat, planning, business","Event organization","Established","Planning","2 weeks","Advanced","Event planning","Successful spiritual retreats","sacred business retreat planning","Complete spiritual business retreat guide"
"Community Wisdom Circle Format","Wisdom Scripts","wisdom, circle, sharing","Collective wisdom sharing","All stages","Format","90 min","Intermediate","Circle facilitation","Shared insights","wisdom circle community format","Format for sharing collective wisdom"
"Spiritual Business Launch Support","Launch Scripts","launch, support, business","New business support","Starting out","Support","1 week","Intermediate","Business launch experience","Successful spiritual business launch","spiritual business launch support","Community support for business launches"
"Sacred Space Virtual Meeting Setup","Virtual Scripts","virtual, meeting, sacred space","Online sacred meetings","All stages","Setup","30 min","Intermediate","Video platform","Sacred virtual gatherings","virtual sacred space meeting","Creating sacred space in online meetings"
"Community Healing Request Protocol","Request Scripts","healing, request, community","Organizing community healing","All stages","Protocol","15 min","Intermediate","Healing coordination","Coordinated healing support","healing request protocol community","Process for requesting community healing"
"Spiritual Business Feedback Circle","Feedback Scripts","feedback, circle, business","Constructive business feedback","Scaling","Circle","1 hour","Advanced","Feedback skills","Improved business strategies","spiritual business feedback circle","Structured business feedback sessions"
"Energy Protection Workshop Script","Protection Scripts","protection, energy, workshop","Energy protection education","All stages","Workshop","2 hours","Advanced","Energy protection knowledge","Protected community members","energy protection workshop","Workshop on spiritual energy protection"
"Sacred Partnership Ritual Script","Partnership Scripts","partnership, ritual, sacred","Partnership blessing","Established","Ritual","45 min","Intermediate","Partnership work","Blessed spiritual partnerships","sacred partnership ritual","Blessing spiritual business partnerships"
"Community Vision Board Creation","Creative Scripts","vision board, community, creation","Collective visioning","All stages","Creative","2 hours","Beginner","Art supplies","Shared vision clarity","vision board community creation","Group vision board creation session"
"Spiritual Business Elevator Pitch","Pitch Scripts","elevator pitch, business, spiritual","Clear business communication","Starting out","Script","10 min","Intermediate","Business clarity","Confident business description","spiritual business elevator pitch","30-second spiritual business description"
"Sacred Money Conversation Script","Money Scripts","money, conversation, sacred","Money dialogue facilitation","All stages","Script","1 hour","Advanced","Money mindset work","Healthy money discussions","sacred money conversation","Facilitating spiritual money discussions"
"Community Appreciation Ceremony","Ceremony Scripts","appreciation, ceremony, community","Member recognition","All stages","Ceremony","45 min","Beginner","None","Valued community members","appreciation ceremony community","Monthly member appreciation ritual"
