Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"Weekly Goal: Update Spiritual Business Strategy","Weekly Strategy","strategy, update, business","Strategic alignment","Scaling","Weekly Goal","1 hour","Advanced","Strategy framework","Aligned business strategy","strategy update business","Weekly business strategy alignment"
"Bi-Weekly Goal: Sacred Business Planning Session","Bi-Weekly Planning","planning, business, sacred","Business direction","All stages","Bi-Weekly Goal","2 hours","Advanced","Planning skills","Clear business direction","planning business sacred","Bi-weekly spiritual business planning"
"Bi-Weekly Goal: Spiritual Business Finance Review","Bi-Weekly Finance","finance, review, business","Financial management","Scaling","Bi-Weekly Goal","1 hour","Advanced","Financial tracking","Healthy money management","finance review business","Bi-weekly business financial check"
"Monthly Goal: Sacred Business Vision Update","Monthly Vision","vision, update, monthly","Vision evolution","All stages","Monthly Goal","2 hours","Advanced","Vision work","Evolved business vision","vision update monthly","Monthly business vision refinement"
"Monthly Goal: Spiritual Service Package Creation","Monthly Package","package, service, creation","Service expansion","Scaling","Monthly Goal","6 hours","Advanced","Service success","New service package","package service creation","Monthly new service package"
"Monthly Goal: Spiritual Business Community Event","Monthly Event","event, community, spiritual","Community engagement","Scaling","Monthly Goal","4 hours","Advanced","Community building","Engaged community event","event community spiritual","Monthly spiritual community gathering"
"Quarterly Goal: Spiritual Business Retreat Planning","Quarterly Retreat","retreat, planning, business","Deep business work","Established","Quarterly Goal","1 week","Advanced","Retreat experience","Planned spiritual business retreat","retreat planning business","Quarterly business retreat planning"
"Sprint Goal: 7-Day Sacred Service Creation","Service Sprint","service, creation, sprint","Fast service development","Starting out","Sprint","3 hours daily","Advanced","Service design","Complete service in 7 days","service creation sprint","Week-long service creation focus"
"Sprint Goal: 5-Day Spiritual Marketing Campaign","Marketing Sprint","marketing, campaign, sprint","Marketing momentum","Scaling","Sprint","2 hours daily","Advanced","Marketing skills","Complete marketing campaign","marketing campaign sprint","5-day marketing campaign creation"
"Sprint Goal: 3-Day Sacred Brand Development","Brand Sprint","brand, development, sacred","Brand clarity","Starting out","Sprint","4 hours daily","Advanced","Brand basics","Complete spiritual brand","brand development sacred","3-day spiritual brand creation"
"Challenge: 30 Days of Spiritual Business Posts","Content Challenge","posts, content, challenge","Content creation habit","All stages","Challenge","20 min daily","Intermediate","Social accounts","Consistent content habit","posts content challenge","30-day spiritual content creation"
"Challenge: 14 Days of Sacred Sales Conversations","Sales Challenge","sales, conversations, sacred","Sales comfort","Starting out","Challenge","30 min daily","Advanced","Sales training","Comfortable spiritual sales","sales conversations sacred","14-day spiritual sales practice"
"Challenge: 21 Days of Money Mindset Work","Money Challenge","money, mindset, challenge","Money relationship healing","All stages","Challenge","15 min daily","Advanced","Money work","Healed money mindset","money mindset challenge","21-day money healing challenge"
"Intensive: 3-Day Spiritual Business Foundation","Foundation Intensive","foundation, intensive, business","Business basics","Starting out","Intensive","6 hours daily","Advanced","Commitment","Solid business foundation","foundation intensive business","3-day business foundation intensive"
"Intensive: 5-Day Sacred Service Design Workshop","Service Intensive","service, design, workshop","Service creation mastery","Starting out","Intensive","4 hours daily","Advanced","Service basics","Master service design","service design workshop","5-day service creation intensive"
"Intensive: 7-Day Spiritual Marketing Mastery","Marketing Intensive","marketing, mastery, spiritual","Marketing confidence","Scaling","Intensive","3 hours daily","Advanced","Marketing basics","Marketing mastery","marketing mastery spiritual","7-day spiritual marketing intensive"
"Phase 1: Spiritual Awakening to Business Idea","Business Phases","awakening, idea, phase","Idea development","Starting out","Phase","Week 1-2","Intermediate","Spiritual awareness","Business idea clarity","awakening idea phase","First phase of spiritual business development"
"Phase 2: Business Foundation and Structure","Foundation Phase","foundation, structure, business","Business setup","Starting out","Phase","Week 3-4","Advanced","Business idea","Structured business foundation","foundation structure business","Second phase business foundation"
"Phase 3: Service Creation and Launch","Launch Phase","service, creation, launch","Service implementation","Starting out","Phase","Week 5-6","Advanced","Business foundation","Launched spiritual services","service creation launch","Third phase service launch"
"Phase 4: Growth and Community Building","Growth Phase","growth, community, scaling","Business expansion","Scaling","Phase","Week 7-8","Advanced","Service success","Growing spiritual business","growth community scaling","Fourth phase business growth"
"Integration: Daily Spiritual Business Check-In","Daily Integration","check-in, daily, integration","Daily alignment","All stages","Integration","10 min daily","Beginner","None","Daily business alignment","check-in daily integration","Daily spiritual business alignment practice"
"Integration: Weekly Sacred Business Review","Weekly Integration","review, weekly, sacred","Weekly assessment","All stages","Integration","45 min weekly","Intermediate","Business activity","Weekly business consciousness","review weekly sacred","Weekly spiritual business assessment"
"Integration: Monthly Spiritual Business Retreat","Monthly Integration","retreat, monthly, integration","Deep monthly work","All stages","Integration","Half day monthly","Advanced","Retreat skills","Monthly business breakthrough","retreat monthly integration","Monthly spiritual business deep work"
"Breakthrough: First Spiritual Income Received","Income Breakthroughs","income, first, breakthrough","Income achievement","Starting out","Breakthrough","Varies","Advanced","Service offering","First spiritual income","income first breakthrough","Celebrating first spiritual business income"
"Breakthrough: Comfortable with Spiritual Pricing","Pricing Breakthroughs","pricing, comfortable, breakthrough","Pricing confidence","Starting out","Breakthrough","Varies","Advanced","Pricing work","Confident spiritual pricing","pricing comfortable breakthrough","Breakthrough in spiritual service pricing"
"Breakthrough: Spiritual Business Community Connection","Community Breakthroughs","community, connection, breakthrough","Isolation breakthrough","All stages","Breakthrough","Varies","Advanced","Community engagement","Connected spiritual community","community connection breakthrough","Breakthrough in spiritual business community"
"Transformation: From Spiritual Isolation to Community","Major Transformations","isolation, community, transformation","Complete isolation healing","All stages","Transformation","60 days","Advanced","Full program","Connected spiritual entrepreneur","isolation community transformation","Complete transformation from isolation to connection"
"Transformation: From Free Services to Paid Offerings","Business Transformations","free, paid, transformation","Monetization breakthrough","Starting out","Transformation","60 days","Advanced","Service creation","Profitable spiritual business","free paid transformation","Complete transformation to profitable spiritual business"
"Transformation: From Spiritual Hobby to Sacred Business","Purpose Transformations","hobby, business, sacred","Professional transformation","Starting out","Transformation","60 days","Advanced","Full commitment","Professional spiritual business","hobby business sacred","Complete transformation to professional spiritual practice"
